arch_id;clim_id;era_median;era_avg;tot_buildings;energy_specific;constr_period;build_type;area_typology;canton;hvac_system;arch_entry_org_id;hvac_system_org;dhw_decentral;dhw_daily_energy;dhw_storage_decentral;dhw_power_decentral;p_therm_heating;enable_borehole;ht_temp_level;enable_gas;enable_district_heat;p_dhw_cent;p_therm_tot;sys_enable_dh;sys_enable_hpaw;sys_enable_hpbw;sys_enable_wood;sys_enable_electro;sys_enable_gas;sys_enable_oil;n_dhw_cent;roof_era;era_roof_new;arch_entry_id
344;2172;130.5;130;6;132;1920;SFH;Rural;AG;Wood;1017477;Wood;1;4.98630137;7.479452055;1.246575342;8.759247362;1;0;0;1;0;8.759247362;1;1;1;1;0;0;0;0.928571429;18.2;39.60833333;1017477
743;15186;278;278;1;144;1945;MFH;Rural;LU;Wood;1059152;Wood;0;15.99452055;0;0;26.80124625;0;0;0;0;0.834;27.63524625;0;1;0;1;0;0;0;1.985714286;139;375.9;1059152
3714;8193;210;210;1;113;1980;SFH;Suburban;AG;HPBW;1212041;HP;0;8.054794521;0;0;12.75252494;1;0;0;0;0.42;13.17252494;0;1;1;1;0;0;0;1.5;52.5;64.05;1212041
3420;9685;256;389.3333333;3;141;1980;MFH;Urban;GR;Electro;1192251;Electro;1;22.4;33.6;5.6;35.79908539;0;0;0;0;0;35.79908539;0;1;0;1;0;0;0;2.780952381;97.33333333;136.5;1192251
361;16782;195;195;1;167;1920;SFH;Rural;BE;Oil;1021432;Oil;0;7.479452055;0;0;18.52763153;0;0;0;0;0.39;18.91763153;0;1;0;1;0;0;1;1.392857143;27.3;71.4;1021432
424;14026;92;92;1;141;1920;SFH;Rural;SG;HPBW;1031611;HP;0;3.528767123;0;0;7.349538999;1;0;0;0;0.184;7.533538999;0;1;1;1;0;0;0;0.657142857;12.88;65.1;1031611
3093;3809;124;151.8181818;18;116;1970;SFH;Suburban;GE;Oil;1178772;Oil;0;5.823163138;0;0;8.972884716;1;1;1;1;0.303636364;9.276521079;1;1;1;1;0;1;1;1.084415584;75.90909091;100.5666667;1311810
455;6769;126;126;2;146;1920;SFH;Rural;TI;Oil;1035864;Oil;0;4.832876712;0;0;9.639654238;1;0;0;1;0.252;9.891654238;1;1;1;1;0;0;1;0.9;17.64;48.86;1035864
3737;1768;190;199.7741935;2;94;1980;SFH;Suburban;BS;Gas;1214151;Gas;1;7.662571807;11.49385771;1.915642952;9.447318098;0;0;1;0;0;9.447318098;0;1;0;1;0;1;0;1.426958525;49.94354839;72.603125;1214151
362;16196;92;92;1;160;1920;SFH;Rural;BE;Wood;1023478;Wood;0;3.528767123;0;0;9.167861217;0;0;0;0;0.184;9.351861217;0;1;0;1;0;0;0;0.657142857;12.88;28;1023478
3035;15888;92;92;1;127;1970;SFH;Rural;VD;Oil;1173904;Oil;0;3.528767123;0;0;7.195661397;0;0;0;0;0.184;7.379661397;0;1;0;1;0;0;1;0.657142857;46;39.1125;1173904
5023;1666;195;203.8571429;8;73;2000;SFH;Suburban;BL;HPBW;1278705;HP;0;7.819178082;0;0;7.985995952;1;0;1;1;0.407714286;8.393710238;1;1;1;1;0;1;0;1.456122449;57.08;69.63333334;1316815
1698;802;232;232;1;135;1950;SFH;Rural;LU;Oil;1105291;Oil;0;8.898630137;0;0;16.15687973;0;0;0;0;0.464;16.62087973;0;1;0;1;0;0;1;1.657142857;46.4;70.7;1105291
383;1227;150;172.0875912;4;143;1920;SFH;Rural;GL;Oil;1026107;Oil;1;6.600619938;9.900929907;1.650154985;13.10289791;1;1;1;1;0;13.10289791;1;1;1;1;0;1;1;1.22919708;24.09226277;86.366875;1026107
3786;4085;115;115;1;110;1980;SFH;Suburban;SG;Wood;1216551;Wood;0;4.410958904;0;0;6.452136056;0;0;0;0;0.23;6.682136056;0;1;0;1;0;0;0;0.821428571;28.75;101.5;1216551
1881;6732;129;167.5428571;5;104;1950;SFH;Suburban;TI;Oil;1117744;Oil;0;6.42630137;0;0;9.341921078;1;0;0;1;0.335085714;9.677006792;1;1;1;1;0;0;1;1.196734694;33.50857143;85.93749997;1326760
800;3087;312;312;1;118;1945;MFH;Rural;VD;Oil;1060230;Oil;0;17.95068493;0;0;21.27914258;0;0;0;0;0.936;22.21514258;0;1;0;1;0;0;1;2.228571429;156;134.4;1060230
